Setp Count,Reward,Steps Time,Time to MaxSetp,Stress
533,0.20,11,11,5
9900,0.34,198,198,99
267,0.20,5,5,3
1300,0.09,26,26,13
600,0.20,12,12,6
9900,0.14,198,198,99
166,0.10,3,3,2
167,0.00,3,3,2
1183,0.29,24,24,12
750,0.20,15,15,8
9900,0.24,198,198,99
384,0.20,8,8,4
1883,0.19,38,38,19
9900,0.14,198,198,99
767,0.20,15,15,8
250,1.30,5,5,3
1133,0.09,23,23,11
1583,1.29,32,32,16
9900,-0.06,198,198,99
600,0.20,12,12,6
