Setp Count,Reward,Steps Time,Time to MaxSetp
2034,1.2877,40.67969,40.67969
2533,1.384801,50.67188,50.67188
233,-0.0015,4.679688,4.679688
567,-0.0034,11.33594,11.33594
6783,1.459202,135.6797,135.6797
7717,0.2536999,154.3359,154.3359
5400,1.3676,108,108
283,-0.0017,5.664063,5.664063
384,0.09759998,7.679688,7.679688
5883,1.264699,117.6719,117.6719
3467,1.2792,69.32813,69.32813
5383,1.567702,107.6719,107.6719
367,0.3977,7.34375,7.34375
3350,1.3799,67,67
6633,1.360203,132.6719,132.6719
8967,1.4462,179.3281,179.3281
1083,0.2935001,21.67188,21.67188
1500,1.2909,30.01563,30.01563
3733,1.577602,74.66406,74.66406
2300,1.2862,46,46
8267,1.350302,165.3516,165.3516
5350,0.1677995,107.0156,107.0156
533,0.2968002,10.66406,10.66406
2567,1.384601,51.33594,51.33594
1050,0.2936999,21,21
1450,0.2913001,29,29
1967,1.2882,39.32813,39.32813
4850,1.470803,97,97
550,0.1965999,11,11
4966,0.07019992,99.33594,99.33594
6317,0.06209937,126.3359,126.3359
567,0.1966,11.32813,11.32813
9316,0.3439992,186.3359,186.3359
6584,1.3605,131.6641,131.6641
1250,-0.007599995,25,25
9166,0.1449991,183.3359,183.3359
2600,1.2844,52,52
384,0.09769997,7.664063,7.664063
316,0.1981,6.335938,6.335938
1850,0.2889003,37,37
734,0.1955999,14.66406,14.66406
400,0.09759997,8,8
1016,-0.006199997,20.33594,20.33594
8934,0.1463992,178.6641,178.6641
6100,1.263299,122,122
1683,1.3898,33.67188,33.67188
450,0.2973,9,9
567,-0.0034,11.32813,11.32813
3050,1.2816,61,61
2350,1.385801,47,47
333,0.1979,6.671875,6.671875
300,-0.0018,6,6
1733,1.389601,34.66406,34.66406
300,-0.0018,6,6
5984,1.4641,119.6641,119.6641
516,0.1969,10.33594,10.33594
4017,1.2759,80.33594,80.33594
6767,1.359404,135.3281,135.3281
4800,1.371203,96,96
3183,0.2808017,63.67188,63.67188
6083,0.2635036,121.6641,121.6641
384,0.1976,7.679688,7.679688
2866,1.2828,57.33594,57.33594
2300,0.3862005,46,46
6717,0.4596017,134.3516,134.3516
483,0.09709996,9.664063,9.664063
1184,0.2929002,23.66406,23.66406
7100,1.457405,142,142
283,0.1983,5.671875,5.671875
533,0.1967999,10.66406,10.66406
3600,0.2784001,72,72
334,0.09799998,6.664063,6.664063
2066,1.3876,41.33594,41.33594
684,0.1957999,13.67969,13.67969
1183,0.1927999,23.67188,23.67188
300,-0.0018,6,6
4283,1.2742,85.67969,85.67969
5367,1.3678,107.3359,107.3359
350,-0.002099999,7,7
383,0.09759997,7.679688,7.679688
1967,1.488201,39.33594,39.33594
4750,0.2715004,95,95
400,0.09759997,8,8
350,0.1979,7,7
5000,-0.03009996,100.0156,100.0156
1800,0.2892003,36,36
5617,0.3663,112.3281,112.3281
2550,0.3847018,51,51
1866,0.08879998,37.33594,37.33594
1034,0.2938001,20.66406,20.66406
850,0.1948999,17,17
866,0.1947999,17.33594,17.33594
634,0.1960999,12.67969,12.67969
3383,0.2797,67.67188,67.67188
283,-0.0017,5.664063,5.664063
1317,1.392101,26.33594,26.33594
317,0.1981,6.328125,6.328125
516,0.1968,10.33594,10.33594
534,1.2967,10.67969,10.67969
316,0.1981,6.335938,6.335938
4134,1.2751,82.67969,82.67969
3700,1.2777,74,74
300,0.1982,6,6
2100,1.2873,42,42
166,-0.0009999999,3.335938,3.335938
1084,0.1934,21.67969,21.67969
383,0.1976,7.671875,7.671875
1200,0.1927999,24,24
1817,1.2891,36.32813,36.32813
5250,1.2685,105,105
4850,0.3707998,97,97
3150,1.481001,63,63
1516,0.1908999,30.33594,30.33594
234,-0.0015,4.679688,4.679688
2483,1.2851,49.67188,49.67188
7717,1.453702,154.3281,154.3281
850,0.1948999,17,17
3600,1.2784,72,72
2366,0.08580001,47.33594,47.33594
234,1.2986,4.664063,4.664063
2200,1.486701,44,44
2750,0.1833997,55,55
3783,1.577303,75.67188,75.67188
983,-0.005899997,19.66406,19.66406
7567,0.1545998,151.3359,151.3359
7917,1.252499,158.3281,158.3281
800,0.2951001,16,16
1383,0.1916,27.67188,27.67188
6700,1.259799,134,134
